"Pos","Game","Genre","Publisher","North America","Europe","Japan","Rest of World","Global","Year Release"
30,Forza Motorsport 5,Racing,Microsoft Studios,1.28,0.9,0.01,0.21,2.4,"2013-01-01"
31,Destiny 2,Shooter,Activision,1.66,0.47,0,0.23,2.35,"2017-01-01"
32,Assassin's Creed IV: Black Flag,Action,Ubisoft,1.51,0.59,0,0.22,2.32,"2013-01-01"
33,FIFA 15,Sports,EA Sports,0.64,1.39,0,0.16,2.19,"2014-01-01"
34,PlayerUnknown's Battlegrounds,Shooter,Microsoft Studios,1.29,0.69,0,0.2,2.17,"2017-01-01"
35,Battlefield 4,Shooter,Electronic Arts,1.26,0.65,0,0.19,2.09,"2013-01-01"
36,NBA 2K17,Sports,"2K Sports",1.7,0.12,0,0.21,2.04,"2016-01-01"
37,Forza Motorsport 6,Racing,Microsoft Studios,0.9,0.92,0.04,0.16,2.02,"2015-01-01"
38,NBA 2K18,Sports,"2K Sports",1.67,0.14,0,0.21,2.02,"2017-01-01"
39,Star Wars Battlefront II (2017),Shooter,Electronic Arts,1.15,0.59,0,0.17,1.92,"2017-01-01"
40,Madden NFL 18,Sports,EA Sports,1.63,0.07,0,0.2,1.91,"2017-01-01"
41,The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks,1.13,0.53,0,0.17,1.83,"2016-01-01"
42,Far Cry 5,Action,Ubisoft,1.14,0.47,0,0.17,1.78,"2018-01-01"
43,Mortal Kombat X,Fighting,Warner Bros. Interactive Entertainment,1.34,0.23,0,0.18,1.74,"2015-01-01"
44,NBA 2K15,Sports,"2K Sports",1.39,0.18,0,0.18,1.74,"2014-01-01"
45,The Witcher 3: Wild Hunt,Role-Playing,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74,"2015-01-01"
46,Far Cry 4,Shooter,Ubisoft,0.85,0.68,0.02,0.14,1.68,"2014-01-01"
47,Watch Dogs,Action-Adventure,Ubisoft,0.91,0.59,0,0.15,1.64,"2014-01-01"
48,Dead Rising 3,Action,Microsoft Studios,1.06,0.4,0.01,0.15,1.63,"2013-01-01"
49,Tom Clancy's Ghost Recon Wildlands,Shooter,Ubisoft,0.98,0.48,0,0.15,1.61,"2017-01-01"
50,Madden NFL 15,Sports,EA Sports,1.34,0.1,0,0.17,1.6,"2014-01-01"
51,Rise of the Tomb Raider,Adventure,Square Enix,0.61,0.82,0.03,0.12,1.58,"2015-01-01"
52,Batman: Arkham Knight,Action,Warner Bros. Interactive Entertainment,0.97,0.46,0,0.14,1.58,"2015-01-01"
53,Forza Motorsport 7,Racing,Microsoft Studios,0.58,0.81,0.01,0.12,1.52,"2017-01-01"
54,Dying Light,Action,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47,"2015-01-01"
55,Ryse,Action,Microsoft Studios,0.84,0.49,0,0.13,1.47,"2013-01-01"
56,Forza Horizon 2,Racing,Microsoft Studios,0.56,0.79,0.01,0.11,1.46,"2014-01-01"
57,Doom (2016),Shooter,Bethesda Softworks,0.76,0.57,0,0.13,1.45,"2016-01-01"
58,Assassin's Creed Syndicate,Action,Ubisoft,0.71,0.61,0,0.12,1.44,"2015-01-01"
59,Middle-Earth: Shadow of Mordor,Action,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42,"2014-01-01"
60,Rocket League,Sports,"505 Games",0.52,0.75,0,0.11,1.38,"2016-01-01"
61,The Elder Scrolls Online,MMO,Bethesda Softworks,0.86,0.39,0,0.13,1.38,"2015-01-01"
62,Titanfall 2,Shooter,Electronic Arts,0.88,0.37,0,0.13,1.37,"2016-01-01"
63,Watch Dogs 2,Action,Ubisoft,0.71,0.53,0,0.12,1.35,"2016-01-01"
64,FIFA Soccer 14,Sports,EA Sports,0.44,0.78,0,0.1,1.31,"2013-01-01"
65,Destiny: The Taken King,Shooter,Activision,0.91,0.23,0,0.12,1.27,"2015-01-01"
66,Battlefield: Hardline,Shooter,Electronic Arts,0.73,0.39,0.01,0.11,1.24,"2015-01-01"
67,Sunset Overdrive,Action,Microsoft Studios,0.64,0.42,0,0.1,1.16,"2014-01-01"
68,Middle-Earth: Shadow of War,Action,Warner Bros. Interactive Entertainment,0.75,0.29,0,0.11,1.15,"2017-01-01"
69,Lego Marvel Super Heroes,Action,Warner Bros. Interactive Entertainment,0.61,0.44,0,0.1,1.15,"2013-01-01"
70,Final Fantasy XV,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14,"2016-01-01"
71,Mafia III,Action-Adventure,"2K Games",0.54,0.48,0,0.09,1.11,"2016-01-01"
72,Diablo III,Role-Playing,Blizzard Entertainment,0.62,0.32,0,0.09,1.04,"2014-01-01"
73,Just Cause 3,Action-Adventure,Square Enix,0.52,0.41,0,0.09,1.01,"2015-01-01"
74,Far Cry: Primal,Action-Adventure,Ubisoft,0.51,0.41,0,0.09,1,"2016-01-01"
75,Dragon Age III: Inquisition,Role-Playing,Electronic Arts,0.63,0.27,0,0.09,0.99,"2014-01-01"
76,Sea of Thieves,Action-Adventure,Microsoft Studios,0.6,0.27,0,0.09,0.96,"2018-01-01"
77,NBA 2K14,Sports,"2K Sports",0.72,0.12,0,0.09,0.94,"2013-01-01"
78,Monster Hunter: World,Action,Capcom,0.67,0.17,0,0.09,0.93,"2018-01-01"
