"Game_ID","Game_Name","Genre"
146,ATV: Quad Power Racing,Racing
147,Aa Megami-samaa,Adventure
148,Abunai: Koi no Sousa Shitsu,Action
149,Academy of Champions: Soccer,Sports
150,Accel World vs. Sword Art Online: Millennium Twilight,Action
151,Accel World: Ginyoku no Kakusei,Adventure
152,Accel World: Kasoku no Chouten,Adventure
153,Ace Attorney 6,Adventure
154,Ace Attorney Investigations 2,Adventure
155,Ace Attorney Investigations: Miles Edgeworth,Adventure
156,Ace Combat 04: Shattered Skies,Simulation
157,Ace Combat 2,Simulation
158,Ace Combat 3: Electrosphere,Simulation
159,Ace Combat 5: The Unsung War,Simulation
160,Ace Combat 6: Fires of Liberation,Simulation
161,Ace Combat 7: Skies Unknown,Shooter
162,Ace Combat X: Skies of Deception,Simulation
163,Ace Combat Zero: The Belkan War,Simulation
164,Ace Combat: Assault Horizon,Action
165,Ace Combat: Assault Horizon Legacy,Simulation
166,Ace Combat: Joint Assault,Simulation
167,Achtung Panzer: Kharkov 1943,Strategy
168,Act of Aggression,Strategy
169,Action Bass,Action
170,Action Force,Action
171,Action Man-Operation Extreme,Action
172,Active Health with Carol Vorderman,Sports
173,Active Life Explorer,Sports
174,Active Life: Extreme Challenge,Sports
175,Active Life: Magical Carnival,Misc
176,Active Life: Outdoor Challenge,Sports
177,Activision Anthology,Misc
178,Activision Hits: Remixed,Misc
179,Actua Tennis,Sports
180,Adidas Power Soccer,Sports
181,Adidas Power Soccer 98,Sports
182,Adr1ft,Adventure
183,Adrenalin Misfits,Racing
184,Advance Guardian Heroes,Role-Playing
185,Advance Wars,Strategy
186,Advance Wars 2: Black Hole Rising,Strategy
187,Advance Wars: Days of Ruin,Strategy
188,Advance Wars: Dual Strike,Strategy
189,Advent Rising,Action
190,Adventure,Adventure
191,Adventure Island,Platform
192,Adventure Time: Explore the Dungeon Because I Don't Know!,Action
193,Adventure Time: Finn & Jake Investigations,Action
194,Adventure Time: The Secret of the Nameless ,Adventure
195,Adventure Time: The Secret of the Nameless Kingdom,Action
196,Adventures of Lolo,Puzzle
197,Adventures of Tron,Action
198,Adventures to Go!,Role-Playing
199,Aedis Eclipse: Generation of Chaos,Role-Playing
200,Aegis of Earth: Protonovus Assault,Action
201,Aeon Flux,Action
202,AereA,Role-Playing
203,Aero Elite: Combat Academy,Simulation
204,Aero Gauge,Racing
205,AeroFighters Assault,Action
206,Afrika,Adventure
207,Afro Samurai,Action
208,Afro Samurai 2,Action
209,After Hours Athletes,Sports
210,Again,Adventure
211,Agarest Senki: Re-appearance,Role-Playing
212,Agassi Tennis Generation,Sports
213,Agatha Christie's The ABC Murders,Adventure
214,Agatha Christie: And Then There Were None,Adventure
215,Agatha Christie: Death on the Nile,Adventure
216,Agatha Christie: Evil Under the Sun,Adventure
217,Agatha Christie: Peril at End House,Adventure
218,Agatha Christie: The ABC Murders,Adventure
219,Age of Conan: Rise of the Godslayer,Role-Playing
220,Age of Empires II: The Age of Kings,Strategy
221,Age of Empires III,Strategy
222,Age of Empires III: Complete Collection,Strategy
223,Age of Empires III: Gold Edition,Strategy
224,Age of Empires III: The Asian Dynasties,Strategy
225,Age of Empires Online,Strategy
226,Age of Empires: Collector's Edition,Strategy
227,Age of Empires: Mythologies,Strategy
228,Age of Empires: The Age of Kings,Strategy
