"Publisher_ID","Publisher_Name"
548,Sweets
549,Swing! Entertainment
550,Syscom
551,System 3
552,System 3 Arcade Software
553,System Soft
554,T&E Soft
555,TDK Core
556,TDK Mediactive
557,TGL
558,THQ
559,THQ Nordic
560,TOHO
561,TYO
562,Taito
563,Takara
564,Takara Tomy
565,Take-Two Interactive
566,Takuyo
567,Taleworlds
568,TalonSoft
569,Tammeka Games
570,Team Meat
571,Team17 Digital Ltd
572,Team17 Software
573,Techland
574,TechnoSoft
575,Technos Japan Corporation
576,Tecmo Koei
577,Telegames
578,Telltale Games
579,Telstar
580,Tetris Online
581,The Adventure Company
582,The Astronauts
583,The Learning Company
584,"Thekla, Inc."
585,Tigervision
586,Time Warner Interactive
587,Titus
588,Tivola
589,Tommo
590,Tomy Corporation
591,TopWare Interactive
592,Touchstone
593,Tradewest
594,Triangle Service
595,Triniti Interactive
596,Trion Worlds
597,Tripwire Interactive
598,Tru Blu Entertainment
599,Tryfirst
600,Two Tribes
601,Type-Moon
602,U.S. Gold
603,UEP Systems
604,UFO Interactive
605,UIG Entertainment
606,Ubisoft
607,Ubisoft Annecy
608,Ultravision
609,Universal Gamex
610,Universal Interactive
611,Unknown
612,Valcon Games
613,ValuSoft
614,Valve
615,Valve Software
616,Vap
617,Vatical Entertainment
618,Versus Evil
619,Vic Tokai
620,Victor Interactive
621,Video System
622,Views
623,Vir2L Studios
624,Virgin Interactive
625,Virtual Play Games
626,Visco
627,Vivendi Games
628,Wanadoo
629,Wander MMO
630,Warashi
631,Wargaming.net
632,Warner Bros. Interactive
633,Warner Bros. Interactive Entertainment
634,Warp
635,WayForward Technologies
636,Westwood Studios
637,White Park Bay Software
638,Wired Productions
639,Wizard Video Games
640,Wizards of the Coast
641,XS Games
642,Xicat Interactive
643,Xing Entertainment
644,Xplosiv
645,Xseed Games
646,Yacht Club Games
647,Yamasa Entertainment
648,Yeti
649,Yuke's
650,Yumedia
651,Zenrin
652,Zoo Digital Publishing
653,Zoo Games
654,Zushi Games
